PARTNER_APP_ID,DAY,OS_NAME,N_USERS_STARTED_SELFIE_CHECK_FLOW,N_USERS_SHARED_A_PROOF,CUMULATIVE_N_USERS_SHARED_A_PROOF,P_FACE_CAPTURE_COMPLETION
app_8b1d7caeac7af6a7984c189e1dd9e3a6,2026-08-13,Android,10,5,91,0.777778
app_8b1d7caeac7af6a7984c189e1dd9e3a6,2026-08-13,iOS,2,2,30,1.000000
app_8b1d7caeac7af6a7984c189e1dd9e3a6,2026-08-14,Android,17,8,99,0.588235
app_8b1d7caeac7af6a7984c189e1dd9e3a6,2026-08-14,iOS,2,2,32,1.000000
app_8b1d7caeac7af6a7984c189e1dd9e3a6,2026-08-15,Android,11,6,105,0.888889
app_8b1d7caeac7af6a7984c189e1dd9e3a6,2026-08-15,iOS,1,0,32,\\N
app_8b1d7caeac7af6a7984c189e1dd9e3a6,2026-08-16,Android,13,8,113,0.750000
app_8b1d7caeac7af6a7984c189e1dd9e3a6,2026-08-16,iOS,3,2,34,1.000000
app_8b1d7caeac7af6a7984c189e1dd9e3a6,2026-08-17,Android,12,7,120,0.923077
app_8b1d7caeac7af6a7984c189e1dd9e3a6,2026-08-17,iOS,4,2,36,0.666667
app_8b1d7caeac7af6a7984c189e1dd9e3a6,2026-08-18,Android,13,4,124,0.538462
app_8b1d7caeac7af6a7984c189e1dd9e3a6,2026-08-18,iOS,1,1,37,1.000000
app_8b1d7caeac7af6a7984c189e1dd9e3a6,2026-08-19,Android,14,6,130,0.916667
app_8b1d7caeac7af6a7984c189e1dd9e3a6,2026-08-19,iOS,2,2,39,1.000000
app_90b027a69afb859b2aa87a85fa9b5b90,2026-08-14,Android,1,1,9,1.000000
app_90b027a69afb859b2aa87a85fa9b5b90,2026-08-14,iOS,1,1,4,1.000000
app_90b027a69afb859b2aa87a85fa9b5b90,2026-08-15,Android,4,3,12,1.000000
app_90b027a69afb859b2aa87a85fa9b5b90,2026-08-15,iOS,1,0,4,0.000000
app_90b027a69afb859b2aa87a85fa9b5b90,2026-08-16,Android,9,6,18,0.888889
app_90b027a69afb859b2aa87a85fa9b5b90,2026-08-16,unknown,0,0,0,0.000000
app_90b027a69afb859b2aa87a85fa9b5b90,2026-08-17,Android,4,4,22,1.000000
app_90b027a69afb859b2aa87a85fa9b5b90,2026-08-17,iOS,1,1,5,1.000000
app_90b027a69afb859b2aa87a85fa9b5b90,2026-08-18,Android,5,3,25,1.000000
app_90b027a69afb859b2aa87a85fa9b5b90,2026-08-18,iOS,7,7,12,1.000000
app_90b027a69afb859b2aa87a85fa9b5b90,2026-08-19,Android,3,1,25,0.333333
app_90b027a69afb859b2aa87a85fa9b5b90,2026-08-19,iOS,1,1,13,0.600000
app_90b027a69afb859b2aa87a85fa9b5b90,2026-08-20,Android,6,4,29,0.875000
app_90b027a69afb859b2aa87a85fa9b5b90,2026-08-21,Android,8,4,33,0.666667
app_90b027a69afb859b2aa87a85fa9b5b90,2026-08-22,Android,6,3,36,1.000000
app_90b027a69afb859b2aa87a85fa9b5b90,2026-08-22,unknown,1,1,1,1.000000
app_8b1d7caeac7af6a7984c189e1dd9e3a6,2026-09-02,iOS,5,2,62,0.750000
app_8b1d7caeac7af6a7984c189e1dd9e3a6,2026-09-03,Android,19,3,248,0.809524
app_8b1d7caeac7af6a7984c189e1dd9e3a6,2026-09-03,iOS,7,5,67,0.875000
app_8cbf81c941bfa1bf4ce1a60653ca3af8,2026-08-17,iOS,1,1,1,1.000000
app_8cbf81c941bfa1bf4ce1a60653ca3af8,2026-08-20,iOS,1,1,2,1.000000
app_90b027a69afb859b2aa87a85fa9b5b90,2026-08-01,Android,1,0,0,0.000000
app_90b027a69afb859b2aa87a85fa9b5b90,2026-08-02,Android,2,2,2,1.000000
app_90b027a69afb859b2aa87a85fa9b5b90,2026-08-03,Android,4,4,6,1.000000
app_90b027a69afb859b2aa87a85fa9b5b90,2026-08-03,iOS,1,1,1,1.000000
app_90b027a69afb859b2aa87a85fa9b5b90,2026-08-05,Android,1,1,6,1.000000
app_90b027a69afb859b2aa87a85fa9b5b90,2026-08-09,Android,1,1,7,1.000000
app_90b027a69afb859b2aa87a85fa9b5b90,2026-08-09,iOS,1,1,2,1.000000
app_90b027a69afb859b2aa87a85fa9b5b90,2026-08-10,Android,1,1,8,1.000000
app_90b027a69afb859b2aa87a85fa9b5b90,2026-08-12,iOS,1,1,3,1.000000
app_90b027a69afb859b2aa87a85fa9b5b90,2026-08-13,Android,2,0,8,0.000000
